,well,channel.1,channel.2,channel.3,experiment,marker.1,marker.2,media.overnight,time.treatment,treatment.1,treatment.2,rep,celltype,G1,n,mad_nucleus.median.1,mad_nucleus.mad.1,mad_nucleus.logmean.1,mad_nucleus.logsd.1,median_nucleus.median.1,median_nucleus.mad.1,median_nucleus.logmean.1,median_nucleus.logsd.1,mean_nucleus.median.1,mean_nucleus.mad.1,mean_nucleus.logmean.1,mean_nucleus.logsd.1,std_nucleus.median.1,std_nucleus.mad.1,std_nucleus.logmean.1,std_nucleus.logsd.1,max_nucleus.median.1,max_nucleus.mad.1,max_nucleus.logmean.1,max_nucleus.logsd.1,sum_nucleus.median.1,sum_nucleus.mad.1,sum_nucleus.logmean.1,sum_nucleus.logsd.1,length_nucleus.median.1,length_nucleus.mad.1,length_nucleus.logmean.1,length_nucleus.logsd.1,mad_halo.median.1,mad_halo.mad.1,mad_halo.logmean.1,mad_halo.logsd.1,median_halo.median.1,median_halo.mad.1,median_halo.logmean.1,median_halo.logsd.1,mean_halo.median.1,mean_halo.mad.1,mean_halo.logmean.1,mean_halo.logsd.1,std_halo.median.1,std_halo.mad.1,std_halo.logmean.1,std_halo.logsd.1,max_halo.median.1,max_halo.mad.1,max_halo.logmean.1,max_halo.logsd.1,sum_halo.median.1,sum_halo.mad.1,sum_halo.logmean.1,sum_halo.logsd.1,length_halo.median.1,length_halo.mad.1,length_halo.logmean.1,length_halo.logsd.1,median_nucleus.div.median_halo.median.1,median_nucleus.div.median_halo.mad.1,median_nucleus.div.median_halo.logmean.1,median_nucleus.div.median_halo.logsd.1,mean_nucleus.div.mean_halo.median.1,mean_nucleus.div.mean_halo.mad.1,mean_nucleus.div.mean_halo.logmean.1,mean_nucleus.div.mean_halo.logsd.1,mad_nucleus.median.2,mad_nucleus.mad.2,mad_nucleus.logmean.2,mad_nucleus.logsd.2,median_nucleus.median.2,median_nucleus.mad.2,median_nucleus.logmean.2,median_nucleus.logsd.2,mean_nucleus.median.2,mean_nucleus.mad.2,mean_nucleus.logmean.2,mean_nucleus.logsd.2,std_nucleus.median.2,std_nucleus.mad.2,std_nucleus.logmean.2,std_nucleus.logsd.2,max_nucleus.median.2,max_nucleus.mad.2,max_nucleus.logmean.2,max_nucleus.logsd.2,sum_nucleus.median.2,sum_nucleus.mad.2,sum_nucleus.logmean.2,sum_nucleus.logsd.2,length_nucleus.median.2,length_nucleus.mad.2,length_nucleus.logmean.2,length_nucleus.logsd.2,mad_halo.median.2,mad_halo.mad.2,mad_halo.logmean.2,mad_halo.logsd.2,median_halo.median.2,median_halo.mad.2,median_halo.logmean.2,median_halo.logsd.2,mean_halo.median.2,mean_halo.mad.2,mean_halo.logmean.2,mean_halo.logsd.2,std_halo.median.2,std_halo.mad.2,std_halo.logmean.2,std_halo.logsd.2,max_halo.median.2,max_halo.mad.2,max_halo.logmean.2,max_halo.logsd.2,sum_halo.median.2,sum_halo.mad.2,sum_halo.logmean.2,sum_halo.logsd.2,length_halo.median.2,length_halo.mad.2,length_halo.logmean.2,length_halo.logsd.2,median_nucleus.div.median_halo.median.2,median_nucleus.div.median_halo.mad.2,median_nucleus.div.median_halo.logmean.2,median_nucleus.div.median_halo.logsd.2,mean_nucleus.div.mean_halo.median.2,mean_nucleus.div.mean_halo.mad.2,mean_nucleus.div.mean_halo.logmean.2,mean_nucleus.div.mean_halo.logsd.2
1,C10,DAPI,FITC,NA,Smad23,Hoechst,Smad23,RPMI+5%FBS,120,ctrl,ctrl,1,HCEC,0.677983539,659,62.2,21.5288346,4.130410479,0.33664371,445,77.8365,6.096262981,0.173267014,430.69,68.807466,6.061998545,0.156655616,81.257,28.8647394,4.37700005,0.335843172,591,99.3342,6.381228958,0.169199663,187300,20771.226,12.14126986,0.100990863,437,62.2692,6.079269131,0.137620742,22.916,6.7962384,3.339300643,0.510475612,14,2.9652,2.651419653,0.203535876,27.962,6.52344,3.466961678,0.391363142,35.593,7.9674924,3.820403334,0.510393812,192,5.9304,5.576337922,0.483956191,30084,7662.0768,10.42593612,0.390361999,1052,59.304,6.958974312,0.05791847,31.53846154,7.298953846,3.444843328,0.23321357,14.6810567,4.965375007,2.595036867,0.401295368,9.7072,2.39261988,2.308079498,0.299677951,70,25.2042,4.271077917,0.355646383,72.091,26.3205978,4.284597577,0.352360817,12.249,3.106047,2.547912959,0.303274721,118,38.5476,4.798918449,0.340479008,31545,11642.8578,10.36386643,0.364159658,437,62.2692,6.079269131,0.137620742,15.357,6.5323356,2.770087147,0.438135374,57,20.7564,4.046046112,0.374407666,58.294,20.6941308,4.078686711,0.360615994,19.806,8.4018942,3.010077502,0.42731029,136,50.4084,4.936366104,0.379744741,61548,22486.5942,11.03769471,0.363508286,1050,62.2692,6.959007776,0.057857313,1.219858156,0.192948298,0.225031805,0.188228795,1.211459876,0.20044903,0.205910865,0.190024079
2,C11,DAPI,FITC,NA,Smad23,Hoechst,Smad23,RPMI+5%FBS,120,ctrl,TGF3,1,HCEC,0.728571429,765,59.021,19.1418486,4.096544236,0.318226096,442,80.0604,6.087243705,0.185162083,427.8,70.230762,6.056153874,0.171929143,75.918,24.5355474,4.342584331,0.317452995,583,102.2994,6.371240948,0.178588763,188300,18072.894,12.14965885,0.0933,439,62.2692,6.093502889,0.1456537,22.776,5.9111262,3.268697384,0.458353073,13,2.9652,2.606440702,0.202874631,26.927,5.7183882,3.399736209,0.353872109,36.165,8.1276132,3.764011215,0.454069693,192,7.413,5.542453033,0.434761277,28719,6422.6232,10.3650844,0.355315435,1059,63.7518,6.965347988,0.061919762,33.09090909,7.107148951,3.480803003,0.218356859,15.55953774,4.195405099,2.656417665,0.357495594,19.309,7.3566612,2.936604518,0.419806042,127,49.6671,4.811454669,0.416455936,124.6,47.354244,4.795658225,0.40786949,24.45,9.4619532,3.176123529,0.422555805,189,66.717,5.227736912,0.379365726,54834,22253.826,10.88916137,0.42164403,439,62.2692,6.093502889,0.1456537,13.117,5.96316546,2.595510048,0.416146262,42,17.7912,3.739720839,0.395636934,44.792,18.2419104,3.791997565,0.379142953,17.317,7.7658588,2.878436816,0.428662997,129,51.891,4.875509198,0.434540718,47030,19445.7816,10.75728681,0.384436678,1059,63.7518,6.965289474,0.062025334,2.953488372,1.11351723,1.071733829,0.402743243,2.788819115,0.948274874,1.00366066,0.377936657
3,C12,DAPI,FITC,NA,Smad23,Hoechst,Smad23,RPMI+5%FBS,120,BMP4,ctrl,1,HCEC,0.704372624,741,60.855,19.9305918,4.123380178,0.30976729,435,77.0952,6.07602483,0.172507938,420.88,66.04983,6.041448431,0.156786183,78.972,25.382112,4.376117212,0.306792488,576,99.3342,6.363683789,0.167704643,186450,19659.276,12.1417358,0.09547489,443,56.3388,6.100284019,0.141336626,20.405,4.52193,3.210998222,0.514759205,13,2.9652,2.61095767,0.197861231,25.561,5.26323,3.370233178,0.390410909,32.896,4.8614454,3.724370826,0.508431328,192,4.4478,5.528797599,0.476522962,27090,6074.2122,10.33814265,0.392533734,1061,66.717,6.967908114,0.061300638,32.5,7.3203375,3.465067161,0.232120628,16.09733286,4.656674506,2.671215254,0.397533957,10.418,3.0793602,2.376332432,0.327555347,75,29.652,4.329923387,0.397625463,76.322,30.0048588,4.342893394,0.393078675,13.362,3.899238,2.615607994,0.328887497,126,47.4432,4.850185805,0.365233866,34202,14473.1412,10.44317753,0.397371113,443,56.3388,6.100284019,0.141336626,17.516,7.6917288,2.878338747,0.440286196,64,26.6868,4.117442831,0.41478694,65.859,26.886951,4.146156113,0.397883787,22.13,9.7718166,3.112102557,0.430633876,153,62.2692,5.02274197,0.398944554,69846,28118.9916,11.11373999,0.397489278,1060,65.2344,6.96758367,0.06160215,1.207317073,0.199542838,0.212480556,0.208723276,1.196150823,0.200524775,0.196737281,0.19765133
4,C13,DAPI,FITC,NA,Smad23,Hoechst,Smad23,RPMI+5%FBS,120,BMP4,TGFB3,1,HCEC,0.695606695,665,60.104,18.0699288,4.102459178,0.300462002,435.5,71.9061,6.069301338,0.175591668,422.46,62.328504,6.037790595,0.160824716,79.278,23.9128554,4.358002891,0.301720109,581,97.8516,6.362955784,0.16881903,191090,19422.06,12.15740529,0.093285483,451,63.7518,6.119612073,0.140169181,19.161,4.5530646,3.141590425,0.505326235,13,2.9652,2.589723919,0.202989246,24.158,5.018601,3.318321577,0.378964047,31.901,4.7680416,3.680829132,0.498536519,192,2.9652,5.517463161,0.473915864,26113,6023.8038,10.29240235,0.385434546,1068,62.2692,6.974080705,0.059691395,33.36363636,7.303489773,3.47957742,0.226146779,16.8559131,4.440442492,2.719469018,0.39137658,23.767,9.6265218,3.171175905,0.445157252,163,57.8214,5.04463115,0.409805806,159.3,54.841374,5.023565933,0.398198619,30.588,12.7963206,3.414504488,0.44666541,236,77.0952,5.43692489,0.372057134,70650,25285.743,11.14317768,0.386441031,451,63.7518,6.119612073,0.140169181,16.315,6.6005352,2.779396812,0.395982231,50,19.2738,3.897210941,0.377307759,52.693,18.9357672,3.953614637,0.361988946,21.532,8.6079756,3.065485019,0.407783426,158,56.3388,5.059261858,0.409756701,55798,19419.0948,10.92738635,0.36073977,1068,62.2692,6.973771938,0.060164617,3.294117647,1.250035294,1.147420209,0.416569886,3.029407835,1.100134085,1.069951296,0.393315251
5,C14,DAPI,FITC,NA,Smad23,Hoechst,Smad23,RPMI+5%FBS,120,Wnt3A,ctrl,1,HCEC,0.723995881,703,56.127,18.8646024,4.051453131,0.318314143,434,84.5082,6.074765225,0.179003794,422.43,76.309422,6.047818417,0.164492023,72.138,23.8150038,4.301054419,0.319656707,575,106.7472,6.362976631,0.173335267,189830,20356.098,12.15641367,0.092529457,449,66.717,6.108592743,0.139099849,19.603,5.1698262,3.152786125,0.503820189,13,1.4826,2.580563365,0.168657909,24.475,4.7265288,3.318246238,0.369241341,32.759,7.4737866,3.711539098,0.490466098,192,8.8956,5.554103535,0.449481431,26350,5365.5294,10.28940758,0.36623033,1066,60.7866,6.971160246,0.057932666,33.2,6.72112,3.49420186,0.201145874,16.75704989,4.410132355,2.729572179,0.367303787,11.659,2.57764836,2.458971848,0.25514878,90,32.6172,4.483806834,0.348791736,90.497,32.8188336,4.490879218,0.345479553,14.703,3.3269544,2.692633991,0.257137546,141,44.478,4.947527681,0.31009553,40632,14615.4708,10.59947235,0.348767845,449,66.717,6.108592743,0.139099849,19.047,7.212849,2.937020396,0.385940202,67,26.6868,4.169392596,0.368025949,68.118,25.7483142,4.196312994,0.354012368,24.327,8.9637996,3.175345341,0.378447791,164,56.3388,5.085054579,0.362319146,72859,27527.4342,11.16719956,0.354037381,1066,59.304,6.970885493,0.058324006,1.357142857,0.237840984,0.314414238,0.19146631,1.341090815,0.22303705,0.294566225,0.18959101
6,C15,DAPI,FITC,NA,Smad23,Hoechst,Smad23,RPMI+5%FBS,120,Wnt3A,TGFB3,1,HCEC,0.699453552,640,53.045,15.9097806,4.000694332,0.299344269,426.75,78.20715,6.054858142,0.184524844,415.85,71.602167,6.030693183,0.17228822,68.836,21.5251281,4.254135131,0.304204972,567,96.369,6.340497671,0.177837245,188220,20511.771,12.14960428,0.100125286,454,60.7866,6.118907117,0.144725317,19.0435,5.7272838,3.162154685,0.538180897,13,2.9652,2.580423281,0.204666483,24.378,6.3588714,3.323738137,0.398691276,32.9945,8.3448141,3.736095246,0.510925637,192,10.3782,5.584265721,0.460871569,26376.5,7122.4104,10.29762108,0.396649063,1068,56.3388,6.973881924,0.059794137,32.6,7.133809091,3.474434861,0.221833749,16.80133088,5.035048676,2.706955046,0.397350653,24.809,9.5672178,3.208788069,0.437207662,171.5,58.5627,5.105491501,0.396971612,168.98,55.997802,5.085400429,0.389188603,31.6695,12.1032051,3.455346057,0.43866966,249,78.5778,5.490799892,0.367857859,76932.5,26256.846,11.20430818,0.402617382,454,60.7866,6.118907117,0.144725317,16.8445,6.4300362,2.832990653,0.391326197,48,17.7912,3.871734399,0.371641177,51.2455,18.2470995,3.934959219,0.355654055,22.6465,8.2232409,3.130603381,0.403171712,164,55.5975,5.122952696,0.39869172,55310.5,19877.2182,10.90883771,0.359768423,1068,56.3388,6.973878836,0.059986829,3.467436975,1.318176316,1.233757102,0.41357894,3.182674282,1.137128579,1.150441211,0.37917678
7,C16,DAPI,FITC,NA,Smad23,Hoechst,Smad23,RPMI+5%FBS,120,Wnt3A,BMP4,1,HCEC,0.717325228,708,57.418,17.2848921,4.06205199,0.301690119,425,74.13,6.05705782,0.173986041,412.575,64.507926,6.026854193,0.158913212,75.0865,23.3027655,4.319456656,0.302966256,568,93.4038,6.344805844,0.164647352,187305,20111.469,12.14262583,0.098101853,453,59.304,6.115768372,0.133316628,16.9705,3.0037476,3.017293161,0.52257017,13,1.4826,2.584181287,0.198532576,22.71,3.8651382,3.245042061,0.381354535,30.025,3.5011599,3.609205121,0.497844506,192,3.7065,5.504980611,0.463597661,24425,4441.1283,10.21606253,0.378157332,1066,56.3388,6.971019861,0.055433901,32.6038961,6.067181329,3.472876534,0.212722949,17.70050789,4.417570452,2.781812132,0.373688282,6.70555,1.53159993,1.964161899,0.300854439,38,11.8608,3.738282217,0.3873457,38.795,11.4997869,3.750814032,0.383994387,8.43355,1.88431047,2.197403712,0.304616266,69,19.2738,4.310692665,0.345846129,17670.5,5224.6824,9.866582516,0.391719476,453,59.304,6.115768372,0.133316628,7.54315,2.79981597,2.144033073,0.481866951,24,8.8956,3.316238729,0.451072899,24.9245,8.5286565,3.350509865,0.44633289,9.6964,3.71569212,2.405761315,0.505157646,69,26.6868,4.379259295,0.559976523,26969,9120.2139,10.32099529,0.448719711,1065.5,58.5627,6.97048546,0.055879993,1.522233202,0.263557055,0.422043488,0.181987581,1.495638491,0.258751469,0.400304167,0.180242706
8,D10,DAPI,FITC,NA,Smad23,Hoechst,Smad23,RPMI+5%FBS,120,ctrl,ctrl,2,HCEC,0.707663198,748,61.789,20.259729,4.143264145,0.320298222,440,75.6126,6.085477169,0.181264736,424.27,69.207768,6.048114322,0.164842057,80.1675,26.7416562,4.394022239,0.317971361,577,100.8168,6.366148995,0.175914986,190065,20571.075,12.15960272,0.09480158,449,60.7866,6.111486577,0.14327442,21.8435,4.3781178,3.262670196,0.486780238,13,2.9652,2.598046501,0.192518245,26.323,4.8747888,3.396297138,0.376188706,34.331,4.4804172,3.750276999,0.49313394,192,2.9652,5.525877192,0.481786416,28509.5,6165.3921,10.36826187,0.381946915,1063.5,58.5627,6.971965033,0.058844462,33,7.021937391,3.487430668,0.225743055,15.79930934,4.281523641,2.651817184,0.396508704,10.9975,3.24007404,2.431558476,0.308996759,83,34.0998,4.428355751,0.379488421,84.0825,34.2814185,4.44066823,0.375893628,13.9115,4.2869379,2.669397607,0.316213156,137,48.9258,4.928483691,0.353726901,38899.5,16031.3538,10.55215557,0.384541818,449,60.7866,6.111486577,0.14327442,17.7225,7.9282035,2.886414416,0.426455402,67.25,27.79875,4.190543906,0.38859783,69.2745,27.3176463,4.212779631,0.377888337,22.547,9.4056144,3.126543774,0.417122916,158,60.7866,5.046009643,0.389917238,73544.5,28846.9482,11.18429155,0.381637954,1062,59.304,6.971511547,0.059426581,1.25,0.198504499,0.237811845,0.178971724,1.246396709,0.203407909,0.227888599,0.181514065
9,D11,DAPI,FITC,NA,Smad23,Hoechst,Smad23,RPMI+5%FBS,120,ctrl,TGF3,2,HCEC,0.732965009,796,60.516,19.814949,4.128120598,0.321814055,448,82.2843,6.10201859,0.188680047,434.55,73.596264,6.070959994,0.174788811,78.2855,26.3850909,4.376044535,0.32106012,595.5,108.2298,6.390119512,0.182411758,190240,18554.739,12.15850013,0.091209275,440,62.2692,6.087536632,0.149753968,23.362,6.4774794,3.314354389,0.495751761,13.75,2.59455,2.607284342,0.187309124,27.4185,6.1883724,3.429501254,0.382135571,36.8485,9.0779598,3.809797829,0.488339788,192,8.8956,5.575596922,0.454219411,28953.5,6943.7571,10.39382672,0.385825397,1060,56.3388,6.964325592,0.060345152,33.29020979,7.415745556,3.494734247,0.225073566,15.6429277,4.969121617,2.641458739,0.398585625,23.719,9.9608481,3.155404712,0.484925221,155,59.304,5.028092168,0.435701611,151.75,57.628662,5.007386562,0.42406868,30.2195,12.728121,3.391233694,0.48147197,227,78.5778,5.416925489,0.393458956,66733.5,26695.6956,11.09492417,0.424045021,440,62.2692,6.087536632,0.149753968,16.4205,6.9697026,2.809560471,0.421642256,49,19.2738,3.893216454,0.37613244,52.6695,19.4732097,3.958370509,0.36156978,21.6715,9.2417871,3.087641768,0.430802742,153,53.3736,5.037910916,0.393215834,56081.5,21321.2706,10.92234335,0.365287437,1060,57.0801,6.963973079,0.060870921,3.133333333,1.28492,1.134875714,0.425208484,2.920608009,1.132659398,1.049016053,0.401642021
10,D12,DAPI,FITC,NA,Smad23,Hoechst,Smad23,RPMI+5%FBS,120,BMP4,ctrl,2,HCEC,0.71218669,824,62.6215,21.7104531,4.157386771,0.317326026,446,82.2843,6.098366511,0.17793543,430.31,72.847551,6.061857776,0.162278131,81.869,27.9855576,4.409577354,0.314400912,589.5,111.9363,6.383544194,0.175212196,188830,20504.358,12.15065067,0.094090673,440.5,63.0105,6.088789607,0.1382422,20.4465,4.4715216,3.21841606,0.524403883,13,2.9652,2.576047529,0.209510181,24.815,5.0645616,3.360191388,0.400524794,33.0205,4.5508407,3.740198622,0.518740167,192,4.4478,5.557346027,0.489740823,26475,5823.6528,10.32353549,0.403197936,1054.5,60.0453,6.963344529,0.058105669,34.10512821,7.454816923,3.522318982,0.229613412,16.73142969,4.590768914,2.701666389,0.411089795,11.252,3.550827,2.44285576,0.325339523,82,34.8411,4.393525417,0.396614661,82.7365,34.8840954,4.405949313,0.393097555,14.2905,4.5708558,2.679656976,0.329616834,135,50.4084,4.907994896,0.365505606,36981,15282.6408,10.49473906,0.394190656,440.5,63.0105,6.088789607,0.1382422,19.3015,8.7391857,2.955418361,0.44624707,67,28.1694,4.190631278,0.401050752,69.9805,28.1790369,4.223388039,0.388969705,24.2665,10.6799091,3.183299116,0.432653715,164.5,65.9757,5.075270337,0.380116252,74116.5,30760.9848,11.18648753,0.389803745,1054,59.304,6.96309894,0.058458593,1.217786561,0.210572174,0.202894139,0.183480582,1.193468182,0.211369683,0.182561274,0.182304386
11,D13,DAPI,FITC,NA,Smad23,Hoechst,Smad23,RPMI+5%FBS,120,BMP4,TGFB3,2,HCEC,0.733086191,791,62.523,18.2389452,4.157610348,0.289029623,460,75.6126,6.13222371,0.173744709,445.91,66.405654,6.101247491,0.161506943,82.071,24.7994502,4.409725588,0.290994837,612,102.2994,6.420684062,0.167776512,190190,18250.806,12.1619786,0.090725694,430,57.8214,6.060728277,0.137046913,20.669,6.5441964,3.250928847,0.593257907,13,2.9652,2.605784224,0.214350787,25.639,6.679113,3.391516918,0.450902794,34.716,9.7881252,3.796833272,0.563692613,229,57.8214,5.624986265,0.49676907,26767,7292.9094,10.34792062,0.451996252,1050,57.8214,6.956403302,0.056279668,34.75,7.413,3.526439487,0.231266916,17.25591561,5.385075793,2.709730572,0.451177282,26.468,11.3626464,3.249620937,0.489373555,175,63.7518,5.130680957,0.417319715,170.94,61.394466,5.109578705,0.405438156,33.654,14.3901156,3.485857926,0.486422044,254,85.9908,5.510980178,0.384413606,72793,25168.6176,11.1703081,0.393057678,430,57.8214,6.060728277,0.137046913,18.952,7.0601412,2.959591531,0.381668391,58.5,21.4977,4.052786508,0.349442215,61.326,20.9031774,4.105874125,0.335855109,24.676,9.1194726,3.227568406,0.387711066,173,57.8214,5.155400366,0.366311851,64263,21840.1806,11.06197341,0.337099354,1050,59.304,6.956098109,0.056462451,2.945945946,1.209076851,1.077894449,0.43473427,2.731682096,1.074317133,1.00370458,0.409632581
12,D14,DAPI,FITC,NA,Smad23,Hoechst,Smad23,RPMI+5%FBS,120,Wnt3A,ctrl,2,HCEC,0.703595724,724,58.932,17.5324863,4.068571446,0.2907056,428,74.13,6.056545839,0.166277368,416.215,66.035004,6.026380776,0.152510169,76.0045,23.2115856,4.324814798,0.290826354,573,96.369,6.344577643,0.16032554,188805,18206.328,12.14440513,0.09125494,452,57.8214,6.1180217,0.135050794,17.8985,3.3202827,3.097949816,0.545843886,13,1.4826,2.568006429,0.177616706,23.206,3.914064,3.28598752,0.400339093,30.828,3.6901914,3.653331985,0.518532267,192,2.9652,5.499674897,0.454106891,24932,4867.3758,10.261009,0.401498046,1066,56.3388,6.975021192,0.055465258,33.25,6.923551923,3.48853941,0.213865887,17.41976072,4.627988511,2.740393255,0.408042741,14.0875,3.4010844,2.650943422,0.259788157,117,35.5824,4.735990271,0.303148422,117.93,35.271054,4.740977667,0.301046509,17.902,4.3277094,2.886572443,0.260547455,179,50.4084,5.176612439,0.279875407,53972.5,17247.0858,10.85899839,0.318462371,452,57.8214,6.1180217,0.135050794,25.349,9.1950852,3.227853755,0.365407906,86,29.652,4.404219705,0.344254883,86.933,28.5600651,4.424569596,0.327784114,32.1915,11.430846,3.454984913,0.351863225,204.5,58.5627,5.303688072,0.311300363,93992,30961.1358,11.39928888,0.332991438,1066,56.3388,6.974717289,0.055667397,1.374313187,0.237256731,0.331770566,0.206257414,1.35885219,0.221703957,0.316408071,0.192834389
13,D15,DAPI,FITC,NA,Smad23,Hoechst,Smad23,RPMI+5%FBS,120,Wnt3A,TGFB3,2,HCEC,0.685274302,712,60.6765,19.2426654,4.112772842,0.314501999,460.75,86.36145,6.125083067,0.185975962,445.92,75.849816,6.093259375,0.171084895,78.97,24.4369545,4.372836157,0.313265711,602,106.7472,6.40213066,0.176392624,192510,20593.314,12.16817509,0.093507052,433,63.7518,6.07491307,0.147061906,18.405,5.0022924,3.127028767,0.544850318,13,2.9652,2.551092884,0.176623214,23.585,5.2209759,3.288398559,0.400052807,31.6155,6.7347105,3.703911968,0.515890298,192,8.1543,5.552856407,0.457927517,24935,5419.6443,10.24605921,0.394518009,1049,59.304,6.957660912,0.058253983,36.27922078,7.19061,3.573990183,0.209132418,18.76302404,4.510299771,2.804860815,0.399880605,29.014,10.5753858,3.343844572,0.403361213,190.75,59.67465,5.210286572,0.357210862,184.58,57.332142,5.183630475,0.348845244,37.1995,13.3708281,3.587190438,0.402647267,271,81.543,5.578535578,0.33037176,78771.5,27161.232,11.25854326,0.370898883,433,63.7518,6.07491307,0.147061906,17.659,6.4656186,2.887379185,0.379168178,51,16.3086,3.946929142,0.334014271,54.675,18.1714869,3.999437932,0.321847876,23.6725,8.7673551,3.178333486,0.383615041,169.5,57.0801,5.137260358,0.351444501,57543,19694.8584,10.95689263,0.322083363,1048,59.304,6.957454081,0.058508816,3.586428571,1.277520577,1.26335743,0.361348139,3.327708633,1.115551277,1.184192543,0.340742285
14,D16,DAPI,FITC,NA,Smad23,Hoechst,Smad23,RPMI+5%FBS,120,Wnt3A,BMP4,2,HCEC,0.729338843,706,55.419,17.6384922,4.037628888,0.321564408,444,81.17235,6.100987324,0.174616792,434.355,71.424255,6.074175777,0.15950365,71.856,23.4310104,4.288986734,0.325959461,583,99.3342,6.376561041,0.167268041,187590,19266.387,12.14114108,0.099641501,431,60.7866,6.066961456,0.136188395,22.363,8.6665383,3.212517935,0.53684362,13,2.9652,2.603443979,0.268541631,25.581,7.0934997,3.36047598,0.41758344,40.8295,15.5443197,3.781556102,0.494124094,255,94.8864,5.611828296,0.433730327,26730.5,7015.6632,10.31554606,0.41537835,1049.5,55.5975,6.955069353,0.057243793,34.13571429,7.61421,3.497543345,0.271047616,16.66687952,5.376841359,2.713699797,0.414475804,13.36,3.5033838,2.594186457,0.268622923,111,35.5824,4.682044876,0.323266523,110.84,35.486031,4.686381566,0.319985736,16.902,4.3788591,2.829429274,0.272394172,168,48.9258,5.111012811,0.302446304,48166.5,16335.2868,10.75334293,0.342429119,431,60.7866,6.066961456,0.136188395,22.1855,7.6984005,3.110512163,0.380327081,78,28.1694,4.332516807,0.336801834,78.9725,27.2405511,4.349794146,0.320833617,28.25,9.6213327,3.341826713,0.368470545,185.5,58.5627,5.210149679,0.322789423,82448,27987.0402,11.30492707,0.325730696,1050,56.3388,6.955131856,0.057332555,1.383156028,0.25837619,0.34952807,0.20277429,1.378198253,0.256036637,0.33658742,0.194459619
15,E10,DAPI,FITC,NA,Smad23,Hoechst,Smad23,RPMI+5%FBS,120,ctrl,ctrl,3,HCEC,0.729582577,402,68.257,24.7312506,4.21332049,0.317041023,455,87.4734,6.117609139,0.172764743,437.34,74.952843,6.077533568,0.156145034,88.1435,30.445191,4.461883511,0.309685268,611,103.782,6.403083827,0.168603534,185650,20963.964,12.14355867,0.10114872,434,56.3388,6.066021584,0.137817895,21.5905,4.8117783,3.241704312,0.4712413,13,2.9652,2.597585356,0.197366253,26.492,5.8577526,3.381705702,0.363284797,34.0305,4.7776785,3.740264828,0.478865338,192,2.9652,5.55528965,0.488960257,27812,6340.3389,10.33668761,0.365102807,1048,55.5975,6.954981695,0.056190403,34.58846154,7.3071,3.520023782,0.223205828,16.37373625,4.171230604,2.695827866,0.374435093,10.249,2.661267,2.345378793,0.302518394,71,25.2042,4.290539093,0.347037505,72.4565,26.1182229,4.304897429,0.345212938,12.9985,3.3692085,2.580704173,0.305378961,120,37.065,4.810543222,0.321293552,31253.5,11005.3398,10.37091883,0.33478921,434,56.3388,6.066021584,0.137817895,16.317,6.8762988,2.813692245,0.447020342,60,22.239,4.080439291,0.364093618,61.599,21.8001504,4.110956573,0.355261664,21.0475,8.6635731,3.053746607,0.440250721,141.5,51.891,4.965278014,0.407431199,63744.5,22855.0203,11.06587786,0.352670744,1048,56.3388,6.954920956,0.056391191,1.220526316,0.206353714,0.210099803,0.182238689,1.218548028,0.210739285,0.193940857,0.184519197
16,E11,DAPI,FITC,NA,Smad23,Hoechst,Smad23,RPMI+5%FBS,120,ctrl,TGF3,3,HCEC,0.719811321,763,60.245,17.383485,4.118406366,0.302672968,460,75.6126,6.128620052,0.176302764,445.52,69.667374,6.099451886,0.164357517,77.435,22.720845,4.363626916,0.302185421,608,102.2994,6.410479066,0.17148107,188400,21186.354,12.1511942,0.101442906,422,53.3736,6.051740564,0.14658537,24.664,8.287734,3.352176133,0.50544433,14,2.9652,2.624241322,0.209635853,28.536,7.457478,3.457946725,0.39546352,41.467,12.794838,3.86149936,0.492515207,255,93.4038,5.651260709,0.460525532,29870,7961.562,10.40962586,0.39521882,1044,56.3388,6.951679255,0.059855392,34,7.248266667,3.50437873,0.224777881,15.41365953,4.406167472,2.641505161,0.388338339,24.161,9.0824076,3.173247772,0.425596685,174,59.304,5.109144185,0.381548056,169.69,57.15423,5.090365245,0.37457581,30.688,11.5583496,3.412489426,0.422649189,246,78.5778,5.482644582,0.354774376,70845,25622.2932,11.14210592,0.369946457,422,53.3736,6.051740564,0.14658537,18.558,7.2632574,2.907357533,0.391254182,55,21.4977,3.996211488,0.377203612,57.316,20.6422398,4.046613826,0.358504275,24.692,9.533118,3.185407875,0.392732558,169,57.8214,5.129236242,0.355596233,59879,22161.9048,10.99822939,0.360383892,1044,56.3388,6.951615101,0.06009431,3.099236641,1.150063538,1.112932698,0.383991959,2.881845371,1.001271221,1.043751419,0.354961199
